date,location,trigger_type,activated,confidence,severity
2000-01-01,Arusha,Drought,Yes,81.25%,0.4032499999999999
2000-01-01,Arusha,Any,Yes,0.00%,0.4032499999999999
2000-01-01,Arusha,Trigger Severity Left,Yes,0.00%,0.4032499999999999
2000-01-01,Dar es Salaam,Drought,Yes,81.25%,0.4032499999999999
2000-01-01,Dar es Salaam,Any,Yes,0.00%,0.4032499999999999
2000-01-01,Dar es Salaam,Trigger Severity Left,Yes,0.00%,0.4032499999999999
2000-01-01,Dodoma,Drought,Yes,43.75%,0.4032499999999999
2000-01-01,Dodoma,Any,Yes,0.00%,0.4032499999999999
2000-01-01,Dodoma,Trigger Severity Left,Yes,0.00%,0.4032499999999999
2000-01-01,Mbeya,Drought,Yes,62.50%,0.4032499999999999
2000-01-01,Mbeya,Any,Yes,0.00%,0.4032499999999999
2000-01-01,Mbeya,Trigger Severity Left,Yes,0.00%,0.4032499999999999
2000-01-01,Morogoro,Drought,Yes,62.50%,0.4032499999999999
2000-01-01,Morogoro,Any,Yes,0.00%,0.4032499999999999
2000-01-01,Morogoro,Trigger Severity Left,Yes,0.00%,0.4032499999999999
2000-01-01,Mwanza,Drought,Yes,43.75%,0.4032499999999999
2000-01-01,Mwanza,Any,Yes,0.00%,0.4032499999999999
2000-01-01,Mwanza,Trigger Severity Left,Yes,0.00%,0.4032499999999999
2000-02-01,Arusha,Drought,Yes,62.50%,0.32425
2000-02-01,Arusha,Any,Yes,0.00%,0.32425
2000-02-01,Arusha,Trigger Severity Left,Yes,0.00%,0.32425
2000-02-01,Dar es Salaam,Drought,Yes,81.25%,0.32425
2000-02-01,Dar es Salaam,Any,Yes,0.00%,0.32425
2000-02-01,Dar es Salaam,Trigger Severity Left,Yes,0.00%,0.32425
2000-02-01,Dodoma,Drought,Yes,43.75%,0.32425
2000-02-01,Dodoma,Any,Yes,0.00%,0.32425
2000-02-01,Dodoma,Trigger Severity Left,Yes,0.00%,0.32425
2000-02-01,Dodoma,Moderate Stress,Yes,0.00%,0.32425
2000-02-01,Mbeya,Drought,Yes,43.75%,0.32425
2000-02-01,Mbeya,Any,Yes,0.00%,0.32425
2000-02-01,Mbeya,Trigger Severity Left,Yes,0.00%,0.32425
2000-02-01,Mbeya,Crop Failure,Yes,15.00%,0.32425
2000-02-01,Mbeya,Moderate Stress,Yes,0.00%,0.32425
2000-02-01,Morogoro,Drought,Yes,43.75%,0.32425
2000-02-01,Morogoro,Any,Yes,0.00%,0.32425
2000-02-01,Morogoro,Trigger Severity Left,Yes,0.00%,0.32425
2000-02-01,Mwanza,Drought,Yes,43.75%,0.32425
2000-02-01,Mwanza,Any,Yes,0.00%,0.32425
2000-02-01,Mwanza,Trigger Severity Left,Yes,0.00%,0.32425
2000-03-01,Arusha,Drought,Yes,43.75%,0.294
2000-03-01,Arusha,Any,Yes,0.00%,0.294
2000-03-01,Arusha,Trigger Severity Left,Yes,0.00%,0.294
2000-03-01,Dar es Salaam,Drought,Yes,43.75%,0.294
2000-03-01,Dar es Salaam,Any,Yes,0.00%,0.294
2000-03-01,Dar es Salaam,Trigger Severity Left,Yes,0.00%,0.294
2000-03-01,Dodoma,Drought,Yes,43.75%,0.294
2000-03-01,Dodoma,Any,Yes,0.00%,0.294
2000-03-01,Dodoma,Trigger Severity Left,Yes,0.00%,0.294
2000-03-01,Mbeya,Drought,Yes,43.75%,0.294
2000-03-01,Mbeya,Any,Yes,0.00%,0.294
