date,year,triggered_events,estimated_payout_usd,payout_tier,trigger_type
2000-01-01,2000,drought,60,standard,drought
2000-01-01,2000,drought,60,standard,drought
2000-01-01,2000,drought,60,standard,drought
2000-01-01,2000,drought,60,standard,drought
2000-01-01,2000,drought,60,standard,drought
2000-01-01,2000,drought,60,standard,drought
2000-02-01,2000,drought,60,standard,drought
2000-02-01,2000,drought,60,standard,drought
2000-02-01,2000,drought,60,standard,drought
2000-02-01,2000,drought,60,standard,drought
2000-02-01,2000,crop_failure,90,standard,crop_failure
2000-02-01,2000,drought,60,standard,drought
2000-02-01,2000,drought,60,standard,drought
2000-03-01,2000,drought,60,standard,drought
2000-03-01,2000,drought,60,standard,drought
2000-03-01,2000,drought,60,standard,drought
2000-03-01,2000,drought,60,standard,drought
2000-03-01,2000,crop_failure,90,standard,crop_failure
2000-03-01,2000,drought,60,standard,drought
2000-03-01,2000,drought,60,standard,drought
2000-04-01,2000,drought,60,standard,drought
2000-04-01,2000,drought,60,standard,drought
2000-04-01,2000,drought,60,standard,drought
2000-04-01,2000,drought,60,standard,drought
2000-04-01,2000,drought,60,standard,drought
2000-04-01,2000,drought,60,standard,drought
2000-05-01,2000,drought,60,standard,drought
2000-05-01,2000,drought,60,standard,drought
2000-05-01,2000,drought,60,standard,drought
2000-05-01,2000,drought,60,standard,drought
2000-05-01,2000,crop_failure,90,standard,crop_failure
2000-05-01,2000,severe_stress,45,standard,severe_stress
2000-05-01,2000,drought,60,standard,drought
2000-05-01,2000,drought,60,standard,drought
2000-05-01,2000,crop_failure,90,standard,crop_failure
2000-05-01,2000,severe_stress,45,standard,severe_stress
2000-06-01,2000,drought,60,standard,drought
2000-06-01,2000,drought,60,standard,drought
2000-06-01,2000,drought,60,standard,drought
2000-06-01,2000,drought,60,standard,drought
2000-06-01,2000,crop_failure,90,standard,crop_failure
2000-06-01,2000,severe_stress,45,standard,severe_stress
2000-06-01,2000,drought,60,standard,drought
2000-06-01,2000,drought,60,standard,drought
2000-06-01,2000,crop_failure,90,standard,crop_failure
2000-07-01,2000,drought,60,standard,drought
2000-07-01,2000,drought,60,standard,drought
2000-07-01,2000,drought,60,standard,drought
2000-07-01,2000,drought,60,standard,drought
2000-07-01,2000,crop_failure,90,standard,crop_failure
2000-07-01,2000,severe_stress,45,standard,severe_stress
2000-07-01,2000,drought,60,standard,drought
2000-07-01,2000,crop_failure,90,standard,crop_failure
2000-07-01,2000,severe_stress,45,standard,severe_stress
2000-07-01,2000,drought,60,standard,drought
2000-07-01,2000,crop_failure,90,standard,crop_failure
2000-07-01,2000,severe_stress,45,standard,severe_stress
2000-08-01,2000,drought,60,standard,drought
2000-08-01,2000,drought,60,standard,drought
2000-08-01,2000,drought,60,standard,drought
2000-08-01,2000,drought,60,standard,drought
2000-08-01,2000,crop_failure,90,standard,crop_failure
2000-08-01,2000,severe_stress,45,standard,severe_stress
2000-08-01,2000,drought,60,standard,drought
2000-08-01,2000,crop_failure,90,standard,crop_failure
2000-08-01,2000,drought,60,standard,drought
2000-09-01,2000,drought,60,standard,drought
2000-09-01,2000,drought,60,standard,drought
2000-09-01,2000,drought,60,standard,drought
2000-09-01,2000,drought,60,standard,drought
2000-09-01,2000,crop_failure,90,standard,crop_failure
2000-09-01,2000,severe_stress,45,standard,severe_stress
2000-09-01,2000,drought,60,standard,drought
2000-09-01,2000,drought,60,standard,drought
2000-09-01,2000,crop_failure,90,standard,crop_failure
2000-09-01,2000,severe_stress,45,standard,severe_stress
2000-10-01,2000,drought,60,standard,drought
2000-10-01,2000,crop_failure,90,standard,crop_failure
2000-10-01,2000,severe_stress,45,standard,severe_stress
2000-10-01,2000,drought,60,standard,drought
2000-10-01,2000,drought,60,standard,drought
2000-10-01,2000,drought,60,standard,drought
2000-10-01,2000,drought,60,standard,drought
2000-10-01,2000,drought,60,standard,drought
2000-10-01,2000,crop_failure,90,standard,crop_failure
2000-10-01,2000,severe_stress,45,standard,severe_stress
2000-11-01,2000,drought,60,standard,drought
2000-11-01,2000,crop_failure,90,standard,crop_failure
2000-11-01,2000,severe_stress,45,standard,severe_stress
2000-11-01,2000,drought,60,standard,drought
2000-11-01,2000,drought,60,standard,drought
2000-11-01,2000,drought,60,standard,drought
2000-11-01,2000,drought,60,standard,drought
2000-11-01,2000,drought,60,standard,drought
2000-12-01,2000,drought,60,standard,drought
2000-12-01,2000,drought,60,standard,drought
2000-12-01,2000,drought,60,standard,drought
2000-12-01,2000,drought,60,standard,drought
2000-12-01,2000,flood,75,standard,flood
2000-12-01,2000,drought,60,standard,drought
2000-12-01,2000,drought,60,standard,drought
2001-01-01,2001,drought,60,standard,drought
2001-01-01,2001,drought,60,standard,drought
2001-01-01,2001,drought,60,standard,drought
2001-01-01,2001,drought,60,standard,drought
2001-01-01,2001,flood,75,standard,flood
2001-01-01,2001,crop_failure,90,standard,crop_failure
2001-01-01,2001,severe_stress,45,standard,severe_stress
2001-01-01,2001,drought,60,standard,drought
2001-01-01,2001,drought,60,standard,drought
2001-02-01,2001,drought,60,standard,drought
2001-02-01,2001,drought,60,standard,drought
2001-02-01,2001,drought,60,standard,drought
2001-02-01,2001,drought,60,standard,drought
2001-02-01,2001,drought,60,standard,drought
2001-02-01,2001,drought,60,standard,drought
2001-03-01,2001,drought,60,standard,drought
2001-03-01,2001,drought,60,standard,drought
2001-03-01,2001,drought,60,standard,drought
2001-03-01,2001,drought,60,standard,drought
2001-03-01,2001,flood,75,standard,flood
2001-03-01,2001,drought,60,standard,drought
2001-03-01,2001,drought,60,standard,drought
2001-04-01,2001,drought,60,standard,drought
2001-04-01,2001,drought,60,standard,drought
2001-04-01,2001,flood,75,standard,flood
2001-04-01,2001,drought,60,standard,drought
2001-04-01,2001,drought,60,standard,drought
2001-04-01,2001,flood,75,standard,flood
2001-04-01,2001,drought,60,standard,drought
2001-04-01,2001,drought,60,standard,drought
2001-05-01,2001,drought,60,standard,drought
2001-05-01,2001,drought,60,standard,drought
2001-05-01,2001,drought,60,standard,drought
2001-05-01,2001,drought,60,standard,drought
2001-05-01,2001,flood,75,standard,flood
2001-05-01,2001,drought,60,standard,drought
2001-05-01,2001,drought,60,standard,drought
2001-06-01,2001,drought,60,standard,drought
2001-06-01,2001,crop_failure,90,standard,crop_failure
