location,year,start_date,simple_payout,moderate_payout,difference,triggers,simple_triggered,moderate_triggered
Arusha,2015,2015-03-25,0.0,0.0,0.0,None,False,False
Arusha,2016,2016-04-01,0.0,8.66,8.66,flowering,False,True
Arusha,2017,2017-04-01,0.0,7.3,7.3,flowering,False,True
Arusha,2018,2018-03-04,0.0,9.0,9.0,germination,False,True
Arusha,2019,2019-04-01,60.0,12.2,-47.8,"germination, flowering",True,True
Arusha,2020,2020-03-03,0.0,13.5,13.5,vegetative,False,True
Arusha,2021,2021-03-26,0.0,0.0,0.0,None,False,False
Arusha,2022,2022-03-30,0.0,12.24,12.24,"flowering, ripening",False,True
Arusha,2023,2023-03-28,0.0,20.25,20.25,"vegetative, ripening",False,True
Arusha,2024,2024-03-17,0.0,0.0,0.0,None,False,False
Arusha,2025,2025-03-15,0.0,20.25,20.25,"vegetative, ripening",False,True
Dodoma,2015,2015-04-01,60.0,37.91,-22.090000000000003,"germination, flowering",True,True
Dodoma,2016,2016-03-24,60.0,26.84,-33.16,flowering,True,True
Dodoma,2017,2017-03-10,60.0,6.56,-53.44,flowering,True,True
Dodoma,2018,2018-03-01,60.0,23.27,-36.730000000000004,"germination, flowering",True,True
Dodoma,2019,2019-03-09,60.0,1.98,-58.02,germination,True,True
Dodoma,2020,2020-03-09,60.0,23.83,-36.17,"germination, flowering",True,True
Dodoma,2021,2021-03-06,60.0,0.0,-60.0,None,True,False
Dodoma,2022,2022-03-19,60.0,29.54,-30.46,"vegetative, flowering",True,True
Dodoma,2023,2023-03-11,60.0,21.17,-38.83,flowering,True,True
Dodoma,2024,2024-03-20,60.0,30.79,-29.21,flowering,True,True
Dodoma,2025,2025-03-11,60.0,20.46,-39.54,flowering,True,True
Dar es Salaam,2015,2015-03-17,0.0,13.5,13.5,vegetative,False,True
Dar es Salaam,2016,2016-03-08,0.0,0.0,0.0,None,False,False
Dar es Salaam,2017,2017-03-12,0.0,0.0,0.0,None,False,False
Dar es Salaam,2018,2018-03-08,0.0,13.5,13.5,vegetative,False,True
Dar es Salaam,2019,2019-03-27,0.0,9.0,9.0,germination,False,True
Dar es Salaam,2020,2020-03-05,0.0,15.75,15.75,flowering,False,True
Dar es Salaam,2021,2021-03-20,0.0,0.0,0.0,None,False,False
Dar es Salaam,2022,2022-03-24,0.0,36.91,36.91,"germination, vegetative, flowering",False,True
Dar es Salaam,2023,2023-03-21,0.0,13.5,13.5,vegetative,False,True
Dar es Salaam,2024,2024-03-15,0.0,6.75,6.75,ripening,False,True
Dar es Salaam,2025,2025-03-11,0.0,0.0,0.0,None,False,False
Mbeya,2015,2015-03-17,60.0,30.25,-29.75,flowering,True,True
Mbeya,2016,2016-03-08,60.0,21.12,-38.879999999999995,"germination, vegetative, flowering",True,True
Mbeya,2017,2017-03-03,0.0,5.47,5.47,"germination, vegetative",False,True
Mbeya,2018,2018-03-01,0.0,40.36,40.36,"germination, vegetative, flowering",False,True
Mbeya,2019,2019-03-06,0.0,46.17,46.17,"germination, vegetative, flowering",False,True
Mbeya,2020,2020-03-02,0.0,34.06,34.06,"germination, vegetative, flowering, ripening",False,True
Mbeya,2021,2021-03-08,0.0,23.59,23.59,"germination, vegetative",False,True
Mbeya,2022,2022-03-05,0.0,12.58,12.58,"germination, vegetative, flowering",False,True
Mbeya,2023,2023-03-04,0.0,32.04,32.04,"germination, vegetative, flowering",False,True
Mbeya,2024,2024-03-06,0.0,11.82,11.82,"germination, vegetative, flowering",False,True
Mbeya,2025,2025-03-09,0.0,4.84,4.84,"vegetative, flowering",False,True
Morogoro,2015,2015-03-16,0.0,0.0,0.0,None,False,False
Morogoro,2016,2016-03-09,0.0,9.2,9.2,"germination, flowering",False,True
Morogoro,2017,2017-03-10,0.0,9.0,9.0,germination,False,True
Morogoro,2018,2018-03-01,0.0,9.0,9.0,germination,False,True
Morogoro,2019,2019-03-08,0.0,0.0,0.0,None,False,False
Morogoro,2020,2020-03-04,0.0,11.65,11.65,"germination, vegetative",False,True
Morogoro,2021,2021-03-18,0.0,0.0,0.0,None,False,False
Morogoro,2022,2022-03-19,60.0,5.64,-54.36,flowering,True,True
Morogoro,2023,2023-03-21,0.0,13.5,13.5,vegetative,False,True
Morogoro,2024,2024-03-04,0.0,0.0,0.0,None,False,False
Morogoro,2025,2025-03-10,0.0,0.0,0.0,None,False,False
Mwanza,2015,2015-03-28,60.0,22.42,-37.58,flowering,True,True
Mwanza,2016,2016-03-08,60.0,0.0,-60.0,None,True,False
Mwanza,2017,2017-03-19,60.0,10.8,-49.2,flowering,True,True
Mwanza,2018,2018-03-02,0.0,0.0,0.0,None,False,False
Mwanza,2019,2019-03-08,60.0,0.0,-60.0,None,True,False
Mwanza,2020,2020-03-08,60.0,0.0,-60.0,None,True,False
Mwanza,2021,2021-03-27,60.0,29.53,-30.47,flowering,True,True
Mwanza,2022,2022-03-17,0.0,18.29,18.29,"germination, flowering",False,True
Mwanza,2023,2023-03-15,0.0,22.5,22.5,"germination, vegetative",False,True
Mwanza,2024,2024-03-10,60.0,17.21,-42.79,flowering,True,True
Mwanza,2025,2025-03-14,60.0,0.0,-60.0,None,True,False
