Model,Held_Out_Location,R2,Mean_R2,Std_R2
random_forest,Arusha,0.6874586139035823,0.7017592586623579,0.044836627149483894
random_forest,Dar es Salaam,0.6167240314084914,0.7017592586623579,0.044836627149483894
random_forest,Dodoma,0.6979014724901147,0.7017592586623579,0.044836627149483894
random_forest,Mbeya,0.71077372288043,0.7017592586623579,0.044836627149483894
random_forest,Morogoro,0.7557567179348015,0.7017592586623579,0.044836627149483894
random_forest,Mwanza,0.741940993356728,0.7017592586623579,0.044836627149483894
xgboost,Arusha,0.8485520973016208,0.8157845210296243,0.04412189763824101
xgboost,Dar es Salaam,0.7202809315566796,0.8157845210296243,0.04412189763824101
xgboost,Dodoma,0.8202873016045407,0.8157845210296243,0.04412189763824101
xgboost,Mbeya,0.8449228390513024,0.8157845210296243,0.04412189763824101
xgboost,Morogoro,0.8401612156441012,0.8157845210296243,0.04412189763824101
xgboost,Mwanza,0.8205027410195016,0.8157845210296243,0.04412189763824101
