feature,importance
precip_mm,0.17246217
flood_trigger,0.16887642
dewpoint_2m,0.07734097
rel_humidity_pct,0.03493158
flood_trigger_confidence,0.033336848
temp_max_c,0.026208699
ndvi_clim_std_lag_1,0.022733092
ndvi_clim_std_rolling_mean_3,0.018635418
temp_range_c,0.016749999
temp_min_c_lag_6,0.015393883
solar_rad_wm2,0.015260543
wind_speed_ms,0.014332151
ndvi_change_mom,0.013590973
temp_variability,0.011573147
ndvi_clim_mean_lag_1,0.011328977
temp_variability_lag_6,0.011313347
ndvi_clim_min_lag_3,0.010667849
ndvi_clim_max_lag_6,0.010281363
ndvi_clim_std_lag_3,0.010247498
ndvi_clim_mean_lag_6,0.01023547
ndvi_clim_mean_lag_3,0.00982619
heavy_rain_days_30day,0.009819449
ndvi_change_mom_rolling_mean_3,0.009535598
vpd_kpa,0.009373864
ndvi_clim_std_lag_6,0.009317956
cumulative_excess_7day,0.009184281
ndvi_clim_min_lag_6,0.008363546
precip_mm_rolling_mean_3,0.008078049
temp_mean_c_lag_6,0.007798133
ndvi_clim_std_rolling_std_3,0.0077544795
ndvi_clim_std,0.0075546135
rel_humidity_pct_rolling_mean_3,0.007351793
ndvi_lag_3,0.0071359887
ndvi_clim_max,0.006283073
ndvi_clim_max_lag_3,0.005235819
humidity_pct,0.0050924136
solar_rad_wm2_rolling_std_3,0.0050586793
is_long_rains,0.004983331
surface_pressure,0.00464438
ndvi_clim_mean,0.004572585
temp_2m_rolling_std_3,0.0045364015
ndvi_lag_6,0.004362613
wind_u_10m,0.004359618
temp_variability_lag_1,0.0043434026
precip_mm_lag_1,0.0042706397
temp_min_c,0.004240971
temp_mean_c_rolling_std_3,0.004110854
temp_2m,0.0041056867
ndvi_change_mom_lag_6,0.004032261
ndvi_deficit_from_max_lag_6,0.0040074945
temp_min_c_rolling_std_3,0.0038719003
pet_mm,0.003847202
vci,0.0037402662
wind_v_10m,0.003737688
ndvi_anomaly_pct_rolling_std_3,0.0036932093
ndvi_anomaly_rolling_std_3,0.0036359427
temp_2m_lag_3,0.003583941
wind_direction_deg,0.0035420503
is_el_nino,0.0035387056
ndvi_deficit_pct_rolling_std_3,0.00350489
ndvi_anomaly_std_rolling_std_3,0.0034493015
ndvi_clim_min,0.0034142132
humidity_pct_rolling_mean_3,0.0032799328
temp_range_c_rolling_std_3,0.0032577424
ndvi_30day_mean,0.0032506024
enso_trend_3month_lag_6,0.0032436165
iod_seasonal_impact_lag_1,0.003145892
ndvi_change_mom_lag_1,0.0031344066
ndvi,0.003130636
temp_range_c_lag_1,0.0030967866
solar_rad_wm2_rolling_mean_3,0.0030815015
prob_normal_rainfall_rolling_mean_3,0.003010662
temp_2m_lag_6,0.002943195
ndvi_percentile_rolling_std_3,0.0028555724
enso_intensity_lag_1,0.0027445795
precip_mm_rolling_std_3,0.002702599
temp_2m_lag_1,0.002698319
ndvi_change_yoy_rolling_std_3,0.0026731584
precip_mm_lag_6,0.002462573
loc_Dodoma,0.002443497
prob_above_normal_rainfall_rolling_std_3,0.0021954593
consecutive_dry_days,0.0021038468
is_dry_day,0.002096906
enso_intensity_lag_6,0.0020547328
prob_normal_rainfall_lag_3,0.0
prob_below_normal_rainfall_rolling_std_3,0.0
prob_normal_rainfall_lag_1,0.0
is_strong_el_nino,0.0
