date,location,year,month,day,rainfall_mm,temp_avg_c,soil_moisture_index
2015-01-01,Arusha,2015,1,1,0.88,24.0,0.52
2015-01-02,Arusha,2015,1,2,0.02,23.77,0.52
2015-01-03,Arusha,2015,1,3,0.19,24.22,0.52
2015-01-04,Arusha,2015,1,4,2.97,25.19,0.51
2015-01-05,Arusha,2015,1,5,12.34,22.99,0.52
2015-01-06,Arusha,2015,1,6,1.73,23.4,0.53
2015-01-07,Arusha,2015,1,7,2.17,22.42,0.53
2015-01-08,Arusha,2015,1,8,0.45,23.56,0.52
2015-01-09,Arusha,2015,1,9,0.19,24.92,0.52
2015-01-10,Arusha,2015,1,10,0.69,24.14,0.52
2015-01-11,Arusha,2015,1,11,2.73,21.64,0.52
2015-01-12,Arusha,2015,1,12,0.69,22.06,0.52
2015-01-13,Arusha,2015,1,13,0.13,24.11,0.52
2015-01-14,Arusha,2015,1,14,0.0,23.54,0.51
2015-01-15,Arusha,2015,1,15,0.0,23.41,0.51
2015-01-16,Arusha,2015,1,16,0.15,24.65,0.51
2015-01-17,Arusha,2015,1,17,0.17,25.71,0.5
2015-01-18,Arusha,2015,1,18,3.15,25.53,0.5
2015-01-19,Arusha,2015,1,19,12.93,23.91,0.52
2015-01-20,Arusha,2015,1,20,25.38,21.56,0.52
2015-01-21,Arusha,2015,1,21,2.92,22.72,0.55
2015-01-22,Arusha,2015,1,22,0.47,23.6,0.55
2015-01-23,Arusha,2015,1,23,0.46,23.38,0.54
2015-01-24,Arusha,2015,1,24,0.09,23.66,0.54
2015-01-25,Arusha,2015,1,25,0.03,23.98,0.54
2015-01-26,Arusha,2015,1,26,0.29,23.71,0.53
2015-01-27,Arusha,2015,1,27,0.4,23.9,0.53
2015-01-28,Arusha,2015,1,28,1.77,23.97,0.52
2015-01-29,Arusha,2015,1,29,1.87,24.29,0.52
2015-01-30,Arusha,2015,1,30,0.18,25.02,0.52
2015-01-31,Arusha,2015,1,31,0.05,25.52,0.52
2015-02-01,Arusha,2015,2,1,0.41,25.66,0.51
2015-02-02,Arusha,2015,2,2,0.1,26.16,0.51
2015-02-03,Arusha,2015,2,3,0.04,25.81,0.51
2015-02-04,Arusha,2015,2,4,0.14,26.11,0.5
2015-02-05,Arusha,2015,2,5,0.03,26.14,0.5
2015-02-06,Arusha,2015,2,6,0.17,25.7,0.5
2015-02-07,Arusha,2015,2,7,0.03,25.67,0.49
2015-02-08,Arusha,2015,2,8,0.04,25.22,0.49
2015-02-09,Arusha,2015,2,9,0.03,24.94,0.49
2015-02-10,Arusha,2015,2,10,2.5,24.05,0.49
2015-02-11,Arusha,2015,2,11,1.91,24.71,0.48
2015-02-12,Arusha,2015,2,12,4.92,24.69,0.48
2015-02-13,Arusha,2015,2,13,6.24,25.26,0.49
2015-02-14,Arusha,2015,2,14,10.58,25.64,0.49
